"Código";"Linha";"Montadora";"Peça";"Aplicação"
"BR-0826";"Borracha";"Mitsubishi";"Kit de borracha da barra estabilizadora dianteira 02 peças";"Kit de borracha da barra estabilizadora dianteira 02 peças"
"BR-0827";"Borracha";"Mitsubishi";"Kit de borracha da barra estabilizadora dianteira 02 peças";"Kit de borracha da barra estabilizadora dianteira 02 peças"
"BR-0828";"Borracha";"Mitsubishi";"Bucha do amortecedor dianteiro inferior Externo ø 35,0mm L200 Triton - até";"Bucha do amortecedor dianteiro inferior Externo ø 35,0mm L200 Triton - até"
"BR-0828A";"Borracha";"Mitsubishi";"Bucha do amortecedor dianteiro inferior Externo ø 37,0mm L200 Triton - 2017 em diante 63";"Bucha do amortecedor dianteiro inferior Externo ø 37,0mm L200 Triton - 2017 em diante 63"
"BR-0829";"Borracha";"Mitsubishi";"Bucha da barra estabilizadora dianteira Outlander - ASX";"Bucha da barra estabilizadora dianteira Outlander - ASX"
"BR-0830";"Borracha";"Mitsubishi";"Kit de borracha da barra estabilizadora traseira Outlander - ASX";"Kit de borracha da barra estabilizadora traseira Outlander - ASX"
"BR-0831";"Borracha";"Mitsubishi";"Borracha do amortecedor dianteira inferior Interno ø 13,0mm L200 Sport";"Borracha do amortecedor dianteira inferior Interno ø 13,0mm L200 Sport"
"BR-0832";"Borracha";"Mitsubishi";"Borracha traseira do braço (tirante) da suspensão traseira Pajero GLS de 1990 a 2000 GLS-B de 1990 a 2000 GLX de 1990 a";"Borracha traseira do braço (tirante) da suspensão traseira Pajero GLS de 1990 a 2000 GLS-B de 1990 a 2000 GLX de 1990 a"
"BR-0833";"Borracha";"Mitsubishi";"Borracha do braço inferior tensor da suspensão traseira Pajero TR4 - Pajero IO";"Borracha do braço inferior tensor da suspensão traseira Pajero TR4 - Pajero IO"
"BR-0834";"Borracha";"Mitsubishi";"Borracha do braço inferior e superior do tensor da suspensão traseira Pajero TR4 - Pajero IO";"Borracha do braço inferior e superior do tensor da suspensão traseira Pajero TR4 - Pajero IO"
"BR-0835";"Borracha";"Mitsubishi";"Borracha do braço superior tensor da suspensão traseira Pajero TR4 - Pajero IO";"Borracha do braço superior tensor da suspensão traseira Pajero TR4 - Pajero IO"
"BR-0836";"Borracha";"Mitsubishi";"Borracha do braço transversal da suspensão traseira A: Interno ø 12,0mm B: Interno ø 16,0mm Pajero TR4 - Pajero IO";"Borracha do braço transversal da suspensão traseira A: Interno ø 12,0mm B: Interno ø 16,0mm Pajero TR4 - Pajero IO"
"BR-0837";"Borracha";"Mitsubishi";"Borracha da ponta do braço tirante (tensor) da suspensão dianteira Pajero TR4 - Pajero IO";"Borracha da ponta do braço tirante (tensor) da suspensão dianteira Pajero TR4 - Pajero IO"
"BR-0838";"Borracha";"Mitsubishi";"Kit de Buchas do braço tensor traseiro BR-0833: 02 Pç BR-0834: 04 Pç BR-0835: 02 pç Pajero TR4 64";"Kit de Buchas do braço tensor traseiro BR-0833: 02 Pç BR-0834: 04 Pç BR-0835: 02 pç Pajero TR4 64"
"BR-0839";"Borracha";"Mitsubishi";"Borracha da ponta do braço tirante (tensor) da suspensão traseira Pajero GLS de 1990 a 2000 GLS-B de 1990 a 2000 GLX de 1990 a";"Borracha da ponta do braço tirante (tensor) da suspensão traseira Pajero GLS de 1990 a 2000 GLS-B de 1990 a 2000 GLX de 1990 a"
